Year,Exports,Imports
2000,83452,232907
2001,50157,317739
2002,37794,295542
2003,31029,287564
2004,16320,296447
2005,19723,406307
2006,20411,382972
2007,24222,442048
2008,23521,549432
2009,59993,432584
2010,55869,345123
2011,48623,371921
2012,55451,407367
2013,51073,443498
2014,39349,330122
2015,8196,222846
