Year,Exports,Imports
2000,86655,50429
2001,153377,60684
2002,137614,55435
2003,121656,52442
2004,93981,34958
2005,123390,34674
2006,110943,31046
2007,104266,38225
2008,113022,47966
2009,111809,36051
2010,114965,33119
2011,105848,37642
2012,110503,57412
2013,103665,55453
2014,98934,51605
2015,93380,42974
