Year,Exports,Imports
2000,4352,68923
2001,4105,78126
2002,4991,69906
2003,3530,77411
2004,3795,81221
2005,3901,87078
2006,4491,97941
2007,3997,100596
2008,3989,93662
2009,4035,95874
2010,4710,101542
2011,4515,101877
2012,4106,90206
2013,4286,89153
2014,3818,96107
2015,3724,94551
