Year,Exports,Imports
2000,332238,631373
2001,303427,679123
2002,275985,679278
2003,340487,688189
2004,374640,728864
2005,288301,736996
2006,282566,745955
2007,261631,730988
2008,293192,731542
2009,225498,747165
2010,207341,757451
2011,199544,766235
2012,232969,751651
2013,216691,763382
2014,188570,755692
2015,206038,758046
