Year,Exports,Imports
2000,60,4479
2001,35,5972
2002,155,6360
2003,468,8149
2004,2313,12406
2005,2375,13206
2006,2795,11027
2007,2488,11361
2008,2776,11728
2009,3033,11378
2010,3146,10869
2011,2981,9746
2012,2332,9241
2013,1976,9543
2014,1673,10623
2015,2105,10309
