Year,Exports,Imports
2000,13475,84179
2001,10873,109113
2002,9461,122330
2003,13818,119605
2004,17036,127768
2005,20912,131849
2006,28132,132597
2007,33863,138024
2008,38229,147239
2009,22120,136158
2010,24988,130910
2011,30525,115490
2012,36246,130596
2013,49596,153123
2014,57816,165338
2015,54642,156394
