Year,Exports,Imports
2000,0,332
2001,0,325
2002,5,360
2003,8,1204
2004,0,362
2005,1,803
2006,0,409
2007,6,342
2008,19,276
2009,0,334
2010,1,287
2011,0,263
2012,1,300
2013,1,297
2014,0,298
2015,1,283
